"year","country","population_density","urban_population","urban_population_growth","population_living_in_slums","rural_population","rural_population_growth","people_using_safely_managed_sanitation_services_rural","people_using_at_least_basic_sanitation_services","people_using_at_least_basic_sanitation_services_rural","people_using_at_least_basic_sanitation_services_urban","che_gdp","dgghe_gdp","dgghe_gge","dphe_che","ehe_che","ope_che","malaria_incidence_rate"
2011,"Chad",10.12944489,22.054,3.843545091,85.94735,77.946,3.441722596,5.146567792,10.7545445,5.522118474,29.2476372,2.93,0.62,3.69,66.15,12.75,60.77,228.4
2011,"Benin",89.51421603,43.608,4.165819026,69.89931,56.392,2.068722848,1.120339686,13.89912041,5.72237553,24.47293639,3,0.65,4.42,45.86,32.4,44.51,381.4
2012,"Niger",14.08128918,16.212,3.748578535,70.38598,83.788,3.778020042,3.885542165,11.42108661,6.198006999,38.41537295,4.31,1.04,6.25,62.68,13.17,60.81,428
2012,"Nigeria",193.4633607,45.246,4.738315972,59.03215,54.754,1.179818636,24.55064279,36.43093333,31.06920059,42.9193824,3.36,0.54,3.67,75.38,8.42,72.84,316.2
2012,"Cameroon",44.02176599,52.769,3.966174007,45.74859,47.231,1.540246478,4.4682522815,40.67952792,22.94736754,56.55073184,3.93,0.64,3.73,75.86,7.86,66.84,261.8
2012,"Chad",10.49158037,22.142,3.91087673,84.82007,77.858,3.399693696,5.050962398,10.90485537,5.417446769,30.20024985,2.96,0.73,3.96,64.61,10.84,59.43,215.9
2012,"Benin",92.21050905,44.125,4.14625433,69.50603,55.875,2.04664078,1.18671753,14.4517136,6.11023838,25.01443137,3.08,0.75,5.25,47.11,28.61,41.53,364.5
2013,"Niger",14.62058735,16.208,3.733693354,70.38598,83.792,3.763146418,4.063608273,11.89472651,6.494157501,39.81454766,4.47,1.34,6.56,58.14,11.85,56.54,416.7
2013,"Nigeria",198.7872273,46.118,4.623595585,59.03215,53.882,1.109294756,24.76663748,37.33607524,31.35841355,44.3200797,3.42,0.49,3.46,73.25,12.44,70.93,297.8
2013,"Cameroon",45.27591124,53.373,3.947206028,45.74859,46.627,1.522023077,4.509845163,40.92061447,22.82101806,56.73253979,3.63,0.48,2.5,79.46,7.31,69.72,272.7
2013,"Chad",10.8728391,22.248,4.047062438,84.82007,77.752,3.433241464,4.956082053,11.06571519,5.31360972,31.1680937,3.12,0.88,5.04,63.75,8,58.64,208.4
2013,"Benin",94.97014899,44.642,4.11372218,69.50603,55.358,2.019256559,1.254933987,15.01474407,6.509732462,25.5613235,2.87,0.76,5.13,48.33,25.02,42.58,362
2014,"Niger",15.17005526,16.219,3.757118758,70.44397,83.781,3.676153504,4.236620813,12.36965957,6.781970962,41.23346825,4.45,1.28,5.4,58.07,13.26,54.67,410.1
2014,"Nigeria",204.109616,46.982,4.498336623,56.51963,53.018,1.025714283,24.98124432,38.26551223,31.64622547,45.73520693,3.35,0.45,3.34,74.4,12.28,71.85,287.7
2014,"Cameroon",46.6668634,53.976,4.149374814,42.47939,46.024,1.72424171,4.5492737855,41.16335571,22.69107488,56.91421319,4.34,0.59,2.94,77.16,9.25,68.98,274.6
2014,"Chad",11.26800985,22.372,4.125800055,83.69279,77.628,3.410376222,4.861926758,11.23774965,5.21060733,32.15116872,3.29,0.94,5.55,60.58,10.88,55.72,211.9
2014,"Benin",97.81841078,45.166,4.121966988,69.11276,54.834,2.003943353,1.324989056,15.58945707,6.920857774,26.11361279,2.69,0.58,4.04,53.49,25.13,46.49,369.5
2015,"Niger",15.7412947,16.247,3.868895681,70.44397,83.753,3.662979543,4.404579786,12.84711594,7.061447381,42.67213471,5.35,1.11,4.59,54.66,24.56,51.69,404.9
2015,"Nigeria",209.3523919,47.838,4.341748348,56.51963,52.162,0.908452075,25.1944633,39.21938255,31.93263636,47.16476409,3.58,0.59,5.33,73.64,9.92,71.89,283.8
2015,"Cameroon",48.15513528,54.578,4.248478199,42.47939,45.422,1.82270284,4.5865381485,41.40780378,22.557538,57.09575205,4.13,0.36,1.81,82.55,8.64,73.83,273.4
2015,"Chad",11.63248173,22.515,3.820524062,83.69279,77.485,2.998977751,4.768496511,11.42187892,5.108439597,33.14947493,3.42,0.73,5.25,61.67,17.06,56.72,214.4
2015,"Benin",100.7509844,45.695,4.118333989,69.11276,54.305,1.984512167,1.396882736,16.17540036,7.343614318,26.67129924,2.73,0.59,3.25,58.57,19.77,51.41,392.8
2016,"Niger",16.33042788,16.29,3.938578554,70.44397,83.71,3.622906254,4.567485191,13.32697458,7.33258676,44.13054705,4.53,1.1,5.69,60.95,14.76,58.51,389.3
2016,"Nigeria",214.5917191,48.683,4.222790935,54.00711,51.317,0.838614948,25.40629443,40.19732734,32.21764622,48.60875118,3.65,0.47,4.87,76.66,10.32,75.19,284.8
2016,"Cameroon",49.61638425,55.179,4.084486646,39.21019,44.821,1.657357133,4.621638253,41.65401211,22.42040743,57.27715636,4.02,0.37,1.81,82.12,8.78,73.39,270.6
2016,"Chad",12.00337913,22.677,3.85561793,82.56551,77.323,2.929399242,4.675791315,11.61879115,5.007106522,34.16301232,3.6,0.63,5.73,59.96,22.67,55.15,212.9
2016,"Benin",103.7410607,46.229,4.086441104,68.71948,53.771,1.936403678,1.470615029,16.77249285,7.778002093,27.23438285,2.8,0.47,3.05,55.72,27.44,48.86,419.9
2017,"Niger",16.9222752,16.35,3.927710767,70.44397,83.65,3.488370127,4.725337029,13.81056598,7.595389097,45.60870526,5.58,1.89,9.66,51.72,14.48,48.31,367.8
2017,"Nigeria",219.8739298,49.519,4.134364003,54.00711,50.481,0.789203531,25.61673771,41.19971911,32.50125505,50.0671682,3.75,0.53,4.44,78.19,7.59,77.39,289
2017,"Cameroon",51.04313638,55.777,3.91291866,39.21019,44.223,1.491814793,4.654574098,41.90133205,22.27968315,57.45842612,3.79,0.14,0.73,87.78,8.5,78.46,260
2017,"Chad",12.40689247,22.858,4.101394995,82.56551,77.142,3.072037835,4.583811167,11.82919278,4.906608104,35.1917809,3.51,0.53,4.68,65.1,19.92,59.88,215.4
2017,"Benin",106.7735012,46.768,4.040370333,68.71948,53.232,1.873720615,1.546185934,17.38065393,8.224021099,27.80286362,2.67,0.46,2.56,57.92,25,50.78,418.7
2018,"Niger",17.51643562,16.425,3.908550076,70.44397,83.575,3.361180442,4.878135299,14.29777602,7.849854392,47.10660934,5.3,1.77,8.35,54.88,11.81,48.96,349.8
2018,"Nigeria",225.0170241,50.344,3.964473973,51.49458,49.656,0.6643926,25.82579312,42.22626064,32.78346285,51.54001515,3.09,0.5,3.88,76.73,7.17,75.95,291.1
2018,"Cameroon",52.47695839,56.374,3.834951846,35.94099,43.626,1.411143912,4.685345684,42.15050117,22.13536518,57.63956134,3.62,0.35,1.96,76,14.29,72.26,248.8
2018,"Chad",12.83079018,23.059,4.235052707,82,76.941,3.098663587,4.492556069,12.05411974,4.806944343,36.23578066,3.29,0.47,4.87,66.43,19.34,64.38,223.5
2018,"Benin",109.8203884,47.312,3.970120607,68.3262,52.688,1.78643971,1.623595452,17.99980309,8.681671337,28.37674155,2.89,0.45,2.71,52.03,32.4,45.57,409.3
2019,"Niger",18.11617352,16.517,3.925115991,70.44397,83.483,3.256405482,5.025880002,14.79003828,8.095982646,48.6242593,5.67,2.02,9.38,49.06,15.25,46.1,332.6
2019,"Nigeria",230.0093778,51.157,3.796390324,51.49458,48.843,0.543586791,26.03346069,43.27675278,33.06426961,53.02729203,2.99,0.47,3.75,72.52,11.75,71.5,293
2019,"Cameroon",53.95717247,56.968,3.829810296,35.94099,43.032,1.410715182,4.713953011,42.40085801,21.98745351,57.820562,3.65,0.41,2.18,75.81,13.05,72.19,242.5
2019,"Chad",13.25065359,23.279,4.169474477,82,76.721,2.93356497,4.40202602,12.2940189,4.708115241,37.2950116,3.38,0.51,4.87,65.72,19.1,63.7,216
2019,"Benin",112.8658656,47.861,3.889088578,68.3262,52.139,1.687939924,1.702843581,18.62985459,9.150952805,28.95601664,2.51,0.31,2.13,58.16,29.42,50.89,401.1
2020,"Niger",18.72393858,16.626,3.957524142,70.44397,83.374,3.169124683,5.168571138,15.28807749,8.333773859,50.16165513,6.17,2.31,10.34,46.76,15.74,43.55,330.8
2020,"Nigeria",234.9618246,51.958,3.683934182,48.98206,48.042,0.476752107,26.23974039,44.35114641,33.34367535,54.52899883,3.38,0.51,4.18,75.45,9.58,74.68,304.4
2020,"Cameroon",55.44743712,57.56,3.758304031,32.67179,42.44,1.339215068,4.7403960795,42.65279948,21.83594813,58.00142812,4.25,0.61,3.66,75.01,10.71,71.88,253.9
2020,"Chad",13.67906528,23.52,4.211929925,82,76.48,2.86734647,4.312221021,12.55032072,4.610120796,38.36947373,4.45,0.56,3.93,71.25,16.08,69.76,208.4
2020,"Benin",115.9113959,48.415,3.813467783,67.93293,51.585,1.594370681,1.783930323,19.27072233,9.631865505,29.54068888,2.71,0.52,2.72,53.51,27.37,46.81,378.3
2021,"Niger",19.3432857,16.751,4.003271756,70.44397,83.249,3.104213665,5.372710663,15.88156173,8.670549746,51.71879684,5.81,2.12,8.75,49.21,14.29,42.53,304.2
2021,"Nigeria",239.9390472,52.746,3.601410454,48.98206,47.254,0.44235512,26.44463225,45.44915489,33.62168006,56.04513557,4.08,0.54,4.31,78.86,7.86,76.24,299.3
2021,"Cameroon",56.93926086,58.148,3.671322489,32.67179,41.852,1.259785943,4.7979258665,42.90563215,21.68084906,58.18215969,4.31,0.48,2.86,73.71,15.03,70.63,262.4
2021,"Chad",14.15841248,23.781,4.547817705,82,76.219,3.102390225,4.22314107,12.82351803,4.512961008,39.45916704,4.18,0.77,5.61,70.27,11.19,69.48,207
2021,"Benin",118.9554541,48.972,3.736215565,67.93293,51.028,1.506647586,1.783930323,19.38161441,9.631865505,29.54068888,2.58,0.32,1.6,55.61,32.07,48.63,379
